中文名,adcode,citycode
北京市,110000,10.0
北京市市辖区,110100,10.0
东城区,110101,10.0
西城区,110102,10.0
朝阳区,110105,10.0
丰台区,110106,10.0
石景山区,110107,10.0
海淀区,110108,10.0
门头沟区,110109,10.0
房山区,110111,10.0
通州区,110112,10.0
顺义区,110113,10.0
昌平区,110114,10.0
大兴区,110115,10.0
怀柔区,110116,10.0
平谷区,110117,10.0
密云区,110118,10.0
延庆区,110119,10.0
天津市,120000,22.0
天津市市辖区,120100,22.0
和平区,120101,22.0
河东区,120102,22.0
河西区,120103,22.0
南开区,120104,22.0
河北区,120105,22.0
红桥区,120106,22.0
东丽区,120110,22.0
西青区,120111,22.0
津南区,120112,22.0
北辰区,120113,22.0
武清区,120114,22.0
宝坻区,120115,22.0
滨海新区,120116,22.0
宁河区,120117,22.0
静海区,120118,22.0
蓟州区,120119,22.0
河北省,130000,
石家庄市,130100,311.0
石家庄市市辖区,130101,311.0
长安区,130102,311.0
桥西区,130104,311.0
新华区,130105,311.0
井陉矿区,130107,311.0
裕华区,130108,311.0
藁城区,130109,311.0
鹿泉区,130110,311.0
栾城区,130111,311.0
井陉县,130121,311.0
正定县,130123,311.0
行唐县,130125,311.0
灵寿县,130126,311.0
高邑县,130127,311.0
深泽县,130128,311.0
赞皇县,130129,311.0
无极县,130130,311.0
平山县,130131,311.0
元氏县,130132,311.0
赵县,130133,311.0
辛集市,130181,311.0
晋州市,130183,311.0
新乐市,130184,311.0
唐山市,130200,315.0
唐山市市辖区,130201,315.0
路南区,130202,315.0
路北区,130203,315.0
古冶区,130204,315.0
开平区,130205,315.0
丰南区,130207,315.0
丰润区,130208,315.0
曹妃甸区,130209,315.0
滦州市,130284,315.0
滦南县,130224,315.0
乐亭县,130225,315.0
迁西县,130227,315.0
玉田县,130229,315.0
遵化市,130281,315.0
迁安市,130283,315.0
秦皇岛市,130300,335.0
秦皇岛市市辖区,130301,335.0
海港区,130302,335.0
山海关区,130303,335.0
北戴河区,130304,335.0
抚宁区,130306,335.0
青龙满族自治县,130321,335.0
昌黎县,130322,335.0
卢龙县,130324,335.0
邯郸市,130400,310.0
邯郸市市辖区,130401,310.0
邯山区,130402,310.0
丛台区,130403,310.0
复兴区,130404,310.0
峰峰矿区,130406,310.0
肥乡区,130407,310.0
永年区,130408,310.0
临漳县,130423,310.0
成安县,130424,310.0
大名县,130425,310.0
涉县,130426,310.0
磁县,130427,310.0
邱县,130430,310.0
鸡泽县,130431,310.0
广平县,130432,310.0
馆陶县,130433,310.0
魏县,130434,310.0
曲周县,130435,310.0
武安市,130481,310.0
邢台市,130500,319.0
邢台市市辖区,130501,319.0
襄都区,130502,319.0
信都区,130503,319.0
临城县,130522,319.0
内丘县,130523,319.0
柏乡县,130524,319.0
隆尧县,130525,319.0
任泽区,130505,319.0
南和区,130506,319.0
宁晋县,130528,319.0
巨鹿县,130529,319.0
新河县,130530,319.0
广宗县,130531,319.0
平乡县,130532,319.0
威县,130533,319.0
清河县,130534,319.0
临西县,130535,319.0
南宫市,130581,319.0
沙河市,130582,319.0
保定市,130600,312.0
保定市市辖区,130601,312.0
竞秀区,130602,312.0
莲池区,130606,312.0
满城区,130607,312.0
清苑区,130608,312.0
徐水区,130609,312.0
涞水县,130623,312.0
阜平县,130624,312.0
定兴县,130626,312.0
唐县,130627,312.0
高阳县,130628,312.0
容城县,130629,312.0
涞源县,130630,312.0
望都县,130631,312.0
安新县,130632,312.0
易县,130633,312.0
曲阳县,130634,312.0
蠡县,130635,312.0
顺平县,130636,312.0
博野县,130637,312.0
雄县,130638,312.0
涿州市,130681,312.0
定州市,130682,312.0
安国市,130683,312.0
高碑店市,130684,312.0
张家口市,130700,313.0
张家口市市辖区,130701,313.0
桥东区,130702,313.0
桥西区,130703,313.0
宣化区,130705,313.0
下花园区,130706,313.0
万全区,130708,313.0
崇礼区,130709,313.0
张北县,130722,313.0
康保县,130723,313.0
沽源县,130724,313.0
尚义县,130725,313.0
蔚县,130726,313.0
阳原县,130727,313.0
怀安县,130728,313.0
怀来县,130730,313.0
涿鹿县,130731,313.0
赤城县,130732,313.0
承德市,130800,314.0
承德市市辖区,130801,314.0
双桥区,130802,314.0
双滦区,130803,314.0
鹰手营子矿区,130804,314.0
承德县,130821,314.0
兴隆县,130822,314.0
滦平县,130824,314.0
隆化县,130825,314.0
丰宁满族自治县,130826,314.0
宽城满族自治县,130827,314.0
围场满族蒙古族自治县,130828,314.0
平泉市,130881,314.0
沧州市,130900,317.0
沧州市市辖区,130901,317.0
新华区,130902,317.0
运河区,130903,317.0
沧县,130921,317.0
青县,130922,317.0
东光县,130923,317.0
海兴县,130924,317.0
盐山县,130925,317.0
肃宁县,130926,317.0
南皮县,130927,317.0
吴桥县,130928,317.0
献县,130929,317.0
孟村回族自治县,130930,317.0
泊头市,130981,317.0
任丘市,130982,317.0
黄骅市,130983,317.0
河间市,130984,317.0
廊坊市,131000,316.0
廊坊市市辖区,131001,316.0
安次区,131002,316.0
广阳区,131003,316.0
固安县,131022,316.0
永清县,131023,316.0
香河县,131024,316.0
大城县,131025,316.0
文安县,131026,316.0
大厂回族自治县,131028,316.0
霸州市,131081,316.0
三河市,131082,316.0
衡水市,131100,318.0
衡水市市辖区,131101,318.0
桃城区,131102,318.0
冀州区,131103,318.0
枣强县,131121,318.0
武邑县,131122,318.0
武强县,131123,318.0
饶阳县,131124,318.0
安平县,131125,318.0
故城县,131126,318.0
景县,131127,318.0
阜城县,131128,318.0
深州市,131182,318.0
山西省,140000,
太原市,140100,351.0
太原市市辖区,140101,351.0
小店区,140105,351.0
迎泽区,140106,351.0
杏花岭区,140107,351.0
尖草坪区,140108,351.0
万柏林区,140109,351.0
晋源区,140110,351.0
清徐县,140121,351.0
阳曲县,140122,351.0
娄烦县,140123,351.0
古交市,140181,351.0
大同市,140200,352.0
大同市市辖区,140201,352.0
平城区,140213,352.0
云冈区,140214,352.0
新荣区,140212,352.0
阳高县,140221,352.0
天镇县,140222,352.0
广灵县,140223,352.0
灵丘县,140224,352.0
浑源县,140225,352.0
左云县,140226,352.0
云州区,140215,352.0
阳泉市,140300,353.0
阳泉市市辖区,140301,353.0
城区,140302,353.0
矿区,140303,353.0
郊区,140311,353.0
平定县,140321,353.0
盂县,140322,353.0
长治市,140400,355.0
长治市市辖区,140401,355.0
潞州区,140403,355.0
上党区,140404,355.0
襄垣县,140423,355.0
屯留区,140405,355.0
平顺县,140425,355.0
黎城县,140426,355.0
壶关县,140427,355.0
长子县,140428,355.0
武乡县,140429,355.0
沁县,140430,355.0
沁源县,140431,355.0
潞城区,140406,355.0
晋城市,140500,356.0
晋城市市辖区,140501,356.0
城区,140502,356.0
沁水县,140521,356.0
阳城县,140522,356.0
陵川县,140524,356.0
泽州县,140525,356.0
高平市,140581,356.0
朔州市,140600,349.0
朔州市市辖区,140601,349.0
朔城区,140602,349.0
平鲁区,140603,349.0
山阴县,140621,349.0
应县,140622,349.0
右玉县,140623,349.0
怀仁市,140681,349.0
晋中市,140700,354.0
晋中市市辖区,140701,354.0
榆次区,140702,354.0
榆社县,140721,354.0
左权县,140722,354.0
和顺县,140723,354.0
昔阳县,140724,354.0
寿阳县,140725,354.0
太谷区,140703,354.0
祁县,140727,354.0
平遥县,140728,354.0
灵石县,140729,354.0
介休市,140781,354.0
运城市,140800,359.0
运城市市辖区,140801,359.0
盐湖区,140802,359.0
临猗县,140821,359.0
万荣县,140822,359.0
闻喜县,140823,359.0
稷山县,140824,359.0
新绛县,140825,359.0
绛县,140826,359.0
垣曲县,140827,359.0
夏县,140828,359.0
平陆县,140829,359.0
芮城县,140830,359.0
永济市,140881,359.0
河津市,140882,359.0
忻州市,140900,350.0
忻州市市辖区,140901,350.0
忻府区,140902,350.0
定襄县,140921,350.0
五台县,140922,350.0
代县,140923,350.0
繁峙县,140924,350.0
宁武县,140925,350.0
静乐县,140926,350.0
神池县,140927,350.0
五寨县,140928,350.0
岢岚县,140929,350.0
河曲县,140930,350.0
保德县,140931,350.0
偏关县,140932,350.0
原平市,140981,350.0
临汾市,141000,357.0
临汾市市辖区,141001,357.0
尧都区,141002,357.0
曲沃县,141021,357.0
翼城县,141022,357.0
襄汾县,141023,357.0
洪洞县,141024,357.0
古县,141025,357.0
安泽县,141026,357.0
浮山县,141027,357.0
吉县,141028,357.0
乡宁县,141029,357.0
大宁县,141030,357.0
隰县,141031,357.0
永和县,141032,357.0
蒲县,141033,357.0
汾西县,141034,357.0
侯马市,141081,357.0
霍州市,141082,357.0
吕梁市,141100,358.0
吕梁市市辖区,141101,358.0
离石区,141102,358.0
文水县,141121,358.0
交城县,141122,358.0
兴县,141123,358.0
临县,141124,358.0
柳林县,141125,358.0
石楼县,141126,358.0
岚县,141127,358.0
方山县,141128,358.0
中阳县,141129,358.0
交口县,141130,358.0
孝义市,141181,358.0
汾阳市,141182,358.0
内蒙古自治区,150000,
呼和浩特市,150100,471.0
呼和浩特市市辖区,150101,471.0
新城区,150102,471.0
回民区,150103,471.0
玉泉区,150104,471.0
赛罕区,150105,471.0
土默特左旗,150121,471.0
托克托县,150122,471.0
和林格尔县,150123,471.0
清水河县,150124,471.0
武川县,150125,471.0
包头市,150200,472.0
包头市市辖区,150201,472.0
东河区,150202,472.0
昆都仑区,150203,472.0
青山区,150204,472.0
石拐区,150205,472.0
白云鄂博矿区,150206,472.0
九原区,150207,472.0
土默特右旗,150221,472.0
固阳县,150222,472.0
达尔罕茂明安联合旗,150223,472.0
乌海市,150300,473.0
乌海市市辖区,150301,473.0
海勃湾区,150302,473.0
海南区,150303,473.0
乌达区,150304,473.0
赤峰市,150400,476.0
赤峰市市辖区,150401,476.0
红山区,150402,476.0
元宝山区,150403,476.0
松山区,150404,476.0
阿鲁科尔沁旗,150421,476.0
巴林左旗,150422,476.0
巴林右旗,150423,476.0
